Wavenumber,Processed
257.39,7080.70
261.69,7056.10
265.99,7022.30
270.29,6951.70
274.59,6903.90
278.89,6909.00
283.18,6910.10
287.47,6943.10
291.76,6942.80
296.04,6939.20
300.33,6971.10
304.61,7009.70
308.89,7060.60
313.17,7080.50
317.44,7104.10
321.71,7159.90
325.98,7229.10
330.25,7275.20
334.52,7327.40
338.78,7367.20
343.04,7432.80
347.30,7504.30
351.55,7559.10
355.81,7650.20
360.06,7690.10
364.31,7774.60
368.55,7850.90
372.80,7908.80
377.04,7950.00
381.28,8011.60
385.52,8083.70
389.75,8157.30
393.98,8242.80
398.21,8338.30
402.44,8409.70
406.67,8474.60
410.89,8502.50
415.11,8534.50
419.33,8522.40
423.55,8559.40
427.76,8594.70
431.97,8578.10
436.18,8607.80
440.39,8585.80
444.59,8563.80
448.79,8515.00
452.99,8405.80
457.19,8289.60
461.39,8131.90
465.58,7984.50
469.77,7848.60
473.96,7750.90
478.14,7781.30
482.32,7878.00
486.50,7997.60
490.68,7995.10
494.86,7782.90
499.03,7342.80
503.20,6821.20
507.37,6224.40
511.54,5730.60
515.70,5288.00
519.87,4899.60
524.02,4610.50
528.18,4388.30
532.34,4205.60
536.49,4056.60
540.64,3952.70
544.79,3841.80
548.93,3740.90
553.07,3669.20
557.21,3594.70
561.35,3551.50
565.49,3494.90
569.62,3456.90
573.75,3426.70
577.88,3399.90
582.00,3420.00
586.13,3442.30
590.25,3462.20
594.37,3506.20
598.48,3563.70
602.60,3582.90
606.71,3539.70
610.82,3454.40
614.93,3302.90
619.03,3197.60
623.13,3081.00
627.23,2974.30
631.33,2909.70
635.42,2828.60
639.52,2789.10
643.61,2757.00
647.69,2733.50
651.78,2692.90
655.86,2669.30
659.94,2666.00
664.02,2637.90
668.10,2620.00
672.17,2609.90
676.24,2591.90
680.31,2557.00
684.37,2530.50
688.44,2516.10
692.50,2490.00
696.56,2478.00
700.61,2459.60
704.67,2452.70
708.72,2453.10
712.77,2432.40
716.81,2427.90
720.86,2422.80
724.90,2397.30
728.94,2400.40
732.98,2402.00
737.01,2398.50
741.04,2416.60
745.07,2373.50
749.10,2390.40
753.12,2396.30
757.15,2407.10
761.17,2396.50
765.18,2457.30
769.20,2515.10
773.21,2655.10
777.22,2771.50
781.23,2864.10
785.23,2953.00
789.24,3011.90
793.24,3026.40
797.24,3026.40
801.23,3000.40
805.23,2989.50
809.22,2949.80
813.20,2931.40
817.19,2886.40
