Wavenumber,Processed
257.39,6924.50
261.69,6931.00
265.99,6880.10
270.29,6806.20
274.59,6778.00
278.89,6789.50
283.18,6797.00
287.47,6833.30
291.76,6829.70
296.04,6843.30
300.33,6860.90
304.61,6908.50
308.89,6938.20
313.17,6970.00
317.44,7000.30
321.71,7053.50
325.98,7122.60
330.25,7174.40
334.52,7194.50
338.78,7252.90
343.04,7321.90
347.30,7373.50
351.55,7440.50
355.81,7533.30
360.06,7588.50
364.31,7670.70
368.55,7736.10
372.80,7793.10
377.04,7834.20
381.28,7909.40
385.52,7960.30
389.75,8036.70
393.98,8114.90
398.21,8204.10
402.44,8277.70
406.67,8361.80
410.89,8376.40
415.11,8402.30
419.33,8398.60
423.55,8451.90
427.76,8457.70
431.97,8454.20
436.18,8473.70
440.39,8446.50
444.59,8428.10
448.79,8379.20
452.99,8269.40
457.19,8187.30
461.39,8018.50
465.58,7876.50
469.77,7731.50
473.96,7652.10
478.14,7661.20
482.32,7760.90
486.50,7875.90
490.68,7880.40
494.86,7647.00
499.03,7233.60
503.20,6708.70
507.37,6136.00
511.54,5643.70
515.70,5232.50
519.87,4837.30
524.02,4556.30
528.18,4322.00
532.34,4161.40
536.49,4011.50
540.64,3907.10
544.79,3803.30
548.93,3707.70
553.07,3642.50
557.21,3568.40
561.35,3508.80
565.49,3446.50
569.62,3431.50
573.75,3409.60
577.88,3376.20
582.00,3381.20
586.13,3409.10
590.25,3428.50
594.37,3471.60
598.48,3534.20
602.60,3538.40
606.71,3504.40
610.82,3408.80
614.93,3276.90
619.03,3171.40
623.13,3040.40
627.23,2937.70
631.33,2899.20
635.42,2811.90
639.52,2769.50
643.61,2740.50
647.69,2697.30
651.78,2670.90
655.86,2657.10
659.94,2652.50
664.02,2628.60
668.10,2595.70
672.17,2579.60
676.24,2579.20
680.31,2540.40
684.37,2508.00
688.44,2499.60
692.50,2473.60
696.56,2455.70
700.61,2443.20
704.67,2427.60
708.72,2440.40
712.77,2405.30
716.81,2411.20
720.86,2403.90
724.90,2375.60
728.94,2384.20
732.98,2389.50
737.01,2373.90
741.04,2392.30
745.07,2370.40
749.10,2380.70
753.12,2366.50
757.15,2382.00
761.17,2390.50
765.18,2436.30
769.20,2502.30
773.21,2634.20
777.22,2757.60
781.23,2844.20
785.23,2920.60
789.24,2980.00
793.24,2995.20
797.24,2997.50
801.23,2964.50
805.23,2974.00
809.22,2925.40
813.20,2889.60
817.19,2877.10
821.17,2823.50
825.15,2781.10
829.13,2744.70
833.11,2679.30
837.08,2626.50
841.05,2558.10
845.02,2454.60
848.99,2361.10
