Wavenumber,Processed
257.39,5435.30
261.69,5434.00
265.99,5394.10
270.29,5348.60
274.59,5331.60
278.89,5345.40
283.18,5338.20
287.47,5376.10
291.76,5378.30
296.04,5380.80
300.33,5423.60
304.61,5444.10
308.89,5469.10
313.17,5500.50
317.44,5518.90
321.71,5578.40
325.98,5628.50
330.25,5661.80
334.52,5685.50
338.78,5743.00
343.04,5783.80
347.30,5834.50
351.55,5884.10
355.81,5950.90
360.06,6005.40
364.31,6075.40
368.55,6116.00
372.80,6168.40
377.04,6202.60
381.28,6261.00
385.52,6307.30
389.75,6361.50
393.98,6412.60
398.21,6485.60
402.44,6548.60
406.67,6610.80
410.89,6632.20
415.11,6640.70
419.33,6663.40
423.55,6667.10
427.76,6688.70
431.97,6694.60
436.18,6715.30
440.39,6692.00
444.59,6681.00
448.79,6644.80
452.99,6559.40
457.19,6457.30
461.39,6329.10
465.58,6232.20
469.77,6124.00
473.96,6044.00
478.14,6053.90
482.32,6143.90
486.50,6240.00
490.68,6220.00
494.86,6037.60
499.03,5689.30
503.20,5279.00
507.37,4815.60
511.54,4427.50
515.70,4084.90
519.87,3790.90
524.02,3551.50
528.18,3382.60
532.34,3249.60
536.49,3123.00
540.64,3048.60
544.79,2957.00
548.93,2881.20
553.07,2832.70
557.21,2786.20
561.35,2728.10
565.49,2685.60
569.62,2664.40
573.75,2644.80
577.88,2614.50
582.00,2624.70
586.13,2651.70
590.25,2652.70
594.37,2693.60
598.48,2731.30
602.60,2747.20
606.71,2714.00
610.82,2651.50
614.93,2535.10
619.03,2465.90
623.13,2358.80
627.23,2279.10
631.33,2237.10
635.42,2166.50
639.52,2144.60
643.61,2124.70
647.69,2099.30
651.78,2061.40
655.86,2052.80
659.94,2056.70
664.02,2028.20
668.10,2002.20
672.17,1987.40
676.24,1991.30
680.31,1959.90
684.37,1945.80
688.44,1935.50
692.50,1903.50
696.56,1900.90
700.61,1886.10
704.67,1878.30
708.72,1883.00
712.77,1855.20
716.81,1856.20
720.86,1856.70
724.90,1839.50
728.94,1840.60
732.98,1847.20
737.01,1836.80
741.04,1848.90
745.07,1824.00
749.10,1831.90
753.12,1837.50
757.15,1851.50
761.17,1853.40
765.18,1895.90
769.20,1941.80
773.21,2047.80
777.22,2143.20
781.23,2213.70
785.23,2283.30
789.24,2319.80
793.24,2340.20
797.24,2332.10
801.23,2321.50
805.23,2317.60
809.22,2284.40
813.20,2264.80
817.19,2237.30
821.17,2193.90
825.15,2162.60
829.13,2140.00
833.11,2076.90
837.08,2032.20
841.05,1989.50
845.02,1914.30
848.99,1823.70
852.95,1751.60
856.92,1712.80
860.88,1647.30
864.83,1614.70
868.79,1574.70
872.74,1568.60
876.69,1556.50
880.63,1522.90
884.58,1490.50
888.52,1465.00
892.46,1467.60
896.40,1446.60
900.33,1437.10
904.27,1426.00
908.20,1426.20
