Wavenumber,Processed
257.39,6646.70
261.69,6642.10
265.99,6596.30
270.29,6520.90
274.59,6492.60
278.89,6501.30
283.18,6505.20
287.47,6546.30
291.76,6548.00
296.04,6532.00
300.33,6582.10
304.61,6606.00
308.89,6650.90
313.17,6672.90
317.44,6693.20
321.71,6754.90
325.98,6805.40
330.25,6877.10
334.52,6885.90
338.78,6947.00
343.04,7015.00
347.30,7064.50
351.55,7140.20
355.81,7213.70
360.06,7256.00
364.31,7355.30
368.55,7412.10
372.80,7479.30
377.04,7529.80
381.28,7584.20
385.52,7638.80
389.75,7724.10
393.98,7783.70
398.21,7877.10
402.44,7947.00
406.67,8008.80
410.89,8035.60
415.11,8048.50
419.33,8058.70
423.55,8089.90
427.76,8102.00
431.97,8111.80
436.18,8125.80
440.39,8106.70
444.59,8070.50
448.79,8034.70
452.99,7940.80
457.19,7831.70
461.39,7674.40
465.58,7546.40
469.77,7405.00
473.96,7331.20
478.14,7351.50
482.32,7429.10
486.50,7559.80
490.68,7536.80
494.86,7326.90
499.03,6922.70
503.20,6424.90
507.37,5861.70
511.54,5386.20
515.70,4966.90
519.87,4621.80
524.02,4328.50
528.18,4113.70
532.34,3952.70
536.49,3809.20
540.64,3712.50
544.79,3626.50
548.93,3510.50
553.07,3463.50
557.21,3390.80
561.35,3340.30
565.49,3280.40
569.62,3249.50
573.75,3217.70
577.88,3206.50
582.00,3210.40
586.13,3232.80
590.25,3250.10
594.37,3297.00
598.48,3351.80
602.60,3361.40
606.71,3313.40
610.82,3231.20
614.93,3101.70
619.03,3006.90
623.13,2888.30
627.23,2785.30
631.33,2739.30
635.42,2651.40
639.52,2620.20
643.61,2583.90
647.69,2560.20
651.78,2527.60
655.86,2505.20
659.94,2503.40
664.02,2477.80
668.10,2454.20
672.17,2437.90
676.24,2428.30
680.31,2402.80
684.37,2367.40
688.44,2368.70
692.50,2330.30
696.56,2327.00
700.61,2309.40
704.67,2294.20
708.72,2304.50
712.77,2274.90
716.81,2270.10
720.86,2266.30
724.90,2251.80
728.94,2255.50
732.98,2265.40
737.01,2249.80
741.04,2262.20
745.07,2233.40
749.10,2243.60
753.12,2234.30
757.15,2248.60
761.17,2249.00
765.18,2309.60
769.20,2371.90
773.21,2503.30
777.22,2612.00
781.23,2695.50
785.23,2782.70
789.24,2832.00
793.24,2853.70
797.24,2844.70
801.23,2830.60
805.23,2812.50
809.22,2785.30
813.20,2756.10
817.19,2732.10
821.17,2679.10
825.15,2626.60
829.13,2615.80
833.11,2537.60
837.08,2479.90
841.05,2416.80
845.02,2324.60
848.99,2235.60
852.95,2155.10
856.92,2084.60
860.88,2012.80
864.83,1963.70
868.79,1921.00
872.74,1916.20
876.69,1894.80
880.63,1857.00
884.58,1825.90
888.52,1804.50
892.46,1791.40
896.40,1770.40
900.33,1767.50
904.27,1741.30
908.20,1734.50
912.12,1721.10
916.05,1712.00
919.97,1687.10
923.89,1681.80
927.81,1658.90
931.72,1648.70
935.64,1643.60
939.55,1614.10
943.45,1627.50
947.36,1611.50
951.26,1606.40
955.16,1596.30
959.06,1579.40
962.96,1586.10
966.85,1584.20
970.74,1577.90
974.63,1591.90
978.52,1563.50
982.40,1581.30
986.28,1580.40
990.16,1577.50
994.04,1585.90
997.91,1567.20
1001.78,1587.40
1005.65,1590.30
1009.52,1600.70
1013.38,1612.40
1017.24,1645.40
1021.10,1691.70
1024.96,1695.20
1028.81,1727.00
1032.66,1765.10
1036.51,1809.70
1040.36,1838.20
1044.20,1855.80
1048.05,1874.10
1051.88,1897.40
1055.72,1925.50
1059.56,1901.00
1063.39,1893.40
1067.22,1915.50
1071.05,1882.70
1074.87,1883.80
1078.69,1876.40
1082.51,1863.40
1086.33,1858.00
1090.14,1849.40
1093.96,1828.30
1097.77,1809.40
1101.57,1774.60
1105.38,1781.60
1109.18,1760.50
1112.98,1754.00
1116.78,1753.90
1120.58,1755.60
1124.37,1752.90
1128.16,1754.80
1131.95,1781.60
1135.73,1781.10
1139.52,1804.00
1143.30,1810.80
1147.07,1848.90
1150.85,1844.30
1154.62,1873.30
1158.39,1900.20
1162.16,1908.50
1165.93,1915.50
1169.69,1920.00
1173.45,1919.40
1177.21,1962.50
1180.97,1949.90
1184.72,1955.30
1188.47,1971.00
1192.22,1970.50
1195.97,1990.40
1199.71,1971.60
1203.45,1963.50
1207.19,1996.30
1210.93,1977.40
1214.66,1988.30
1218.40,2008.90
1222.12,1990.80
1225.85,2015.10
1229.58,1997.40
1233.30,2025.60
1237.02,2006.20
1240.73,2002.60
1244.45,1994.60
1248.16,2000.90
1251.87,1987.70
1255.58,1968.40
1259.28,1977.40
1262.98,1968.10
1266.68,1981.80
1270.38,1974.80
1274.08,1976.60
1277.77,1981.40
1281.46,1977.50
1285.15,1999.50
1288.83,2012.40
1292.52,2009.10
1296.20,2007.30
1299.87,1997.70
