Wavenumber,Processed
257.39,2532.00
261.69,2535.50
265.99,2532.70
270.29,2515.90
274.59,2517.90
278.89,2541.10
283.18,2545.60
287.47,2580.20
291.76,2590.30
296.04,2592.30
300.33,2612.30
304.61,2638.70
308.89,2656.50
313.17,2665.90
317.44,2680.50
321.71,2708.70
325.98,2743.80
330.25,2762.50
334.52,2773.10
338.78,2807.10
343.04,2841.10
347.30,2865.70
351.55,2892.30
355.81,2922.40
360.06,2942.40
364.31,2996.20
368.55,3004.10
372.80,3047.20
377.04,3057.60
381.28,3088.90
385.52,3104.90
389.75,3143.40
393.98,3181.20
398.21,3203.40
402.44,3236.00
406.67,3264.60
410.89,3276.90
415.11,3272.10
419.33,3273.60
423.55,3300.90
427.76,3305.30
431.97,3296.30
436.18,3309.10
440.39,3289.60
444.59,3299.80
448.79,3278.90
452.99,3218.70
457.19,3175.30
461.39,3127.60
465.58,3061.70
469.77,3009.20
473.96,2950.50
478.14,2965.30
482.32,2992.60
486.50,3048.60
490.68,3029.00
494.86,2930.90
499.03,2733.30
503.20,2526.60
507.37,2275.00
511.54,2078.30
515.70,1915.60
519.87,1756.30
524.02,1646.20
528.18,1564.10
532.34,1498.90
536.49,1430.20
540.64,1395.90
544.79,1352.60
548.93,1315.00
553.07,1282.20
557.21,1267.90
561.35,1233.10
565.49,1216.20
569.62,1207.90
573.75,1190.00
577.88,1176.40
582.00,1185.70
586.13,1198.40
590.25,1198.80
594.37,1204.40
598.48,1238.70
602.60,1240.60
606.71,1220.40
610.82,1192.00
614.93,1129.50
619.03,1098.20
623.13,1055.20
627.23,1010.90
631.33,1004.70
635.42,966.10
639.52,952.40
643.61,948.60
647.69,935.40
651.78,921.10
655.86,920.10
659.94,913.70
664.02,909.10
668.10,883.40
672.17,882.10
676.24,888.00
680.31,869.30
684.37,856.40
688.44,864.30
692.50,851.60
696.56,846.10
700.61,843.50
704.67,836.10
708.72,852.50
712.77,827.10
716.81,827.40
720.86,839.30
724.90,811.00
728.94,820.40
732.98,834.00
737.01,816.20
741.04,828.30
745.07,816.40
749.10,825.20
753.12,826.90
757.15,832.80
761.17,833.40
765.18,865.10
769.20,882.30
773.21,951.00
777.22,999.30
781.23,1033.10
785.23,1076.10
789.24,1103.00
793.24,1106.80
797.24,1107.90
801.23,1101.80
805.23,1101.40
809.22,1073.50
813.20,1060.80
817.19,1055.00
821.17,1033.70
825.15,1013.90
829.13,1009.70
833.11,974.00
837.08,953.10
841.05,930.60
845.02,882.30
848.99,834.70
852.95,806.40
856.92,779.80
860.88,752.20
864.83,731.60
868.79,717.60
872.74,712.50
876.69,710.10
880.63,698.90
884.58,682.20
888.52,664.60
892.46,664.30
896.40,656.90
900.33,655.80
904.27,645.10
908.20,652.30
912.12,647.70
916.05,644.10
919.97,621.90
923.89,631.50
927.81,626.10
931.72,619.00
935.64,618.40
939.55,601.10
943.45,612.90
947.36,604.80
951.26,608.70
955.16,600.50
959.06,589.00
962.96,602.40
966.85,598.10
970.74,594.90
974.63,599.40
978.52,580.40
982.40,605.20
986.28,592.00
990.16,601.60
994.04,604.80
997.91,580.80
1001.78,594.20
1005.65,598.60
1009.52,607.10
1013.38,609.50
1017.24,628.60
1021.10,659.50
1024.96,649.30
1028.81,656.00
1032.66,680.50
1036.51,698.20
1040.36,721.70
1044.20,729.40
1048.05,736.50
1051.88,753.70
1055.72,771.80
1059.56,738.70
1063.39,741.20
1067.22,757.40
1071.05,741.40
1074.87,752.40
1078.69,741.80
1082.51,737.30
1086.33,738.90
1090.14,736.80
1093.96,725.40
1097.77,716.90
1101.57,697.90
1105.38,709.30
1109.18,692.20
1112.98,686.30
1116.78,687.20
1120.58,693.70
1124.37,692.30
1128.16,682.90
1131.95,699.90
1135.73,701.80
1139.52,711.20
1143.30,716.60
1147.07,743.40
1150.85,731.80
1154.62,749.90
1158.39,764.30
1162.16,767.00
1165.93,770.50
1169.69,771.80
1173.45,764.80
1177.21,795.30
1180.97,777.40
1184.72,785.70
1188.47,798.00
1192.22,795.80
1195.97,820.00
1199.71,805.60
1203.45,791.30
1207.19,814.00
1210.93,807.00
1214.66,812.00
1218.40,822.30
1222.12,801.40
1225.85,830.60
1229.58,817.20
1233.30,832.20
1237.02,811.80
1240.73,819.90
1244.45,813.70
1248.16,818.40
1251.87,822.00
1255.58,800.70
1259.28,818.80
1262.98,803.40
1266.68,823.40
1270.38,808.60
1274.08,818.70
1277.77,825.40
1281.46,816.60
1285.15,845.60
1288.83,837.10
1292.52,828.80
1296.20,840.90
1299.87,830.60
1303.55,857.80
1307.22,847.70
1310.89,825.70
1314.56,844.30
1318.23,838.30
1321.89,835.80
1325.55,831.50
1329.21,836.70
1332.86,850.10
1336.52,823.90
1340.17,838.90
1343.82,835.80
1347.46,841.20
1351.11,838.20
1354.75,851.80
1358.39,855.70
1362.02,847.40
1365.66,858.30
1369.29,856.50
1372.92,863.60
1376.54,859.30
1380.17,850.60
1383.79,839.40
1387.41,860.40
1391.02,845.70
1394.64,848.10
1398.25,827.20
1401.86,846.90
1405.47,840.90
1409.07,826.60
1412.67,845.10
1416.27,826.50
1419.87,824.90
1423.47,835.10
1427.06,842.00
1430.65,834.90
1434.24,837.50
1437.82,843.50
1441.40,837.90
1444.98,843.30
1448.56,850.00
1452.14,859.80
1455.71,855.80
1459.28,849.70
1462.85,850.70
1466.41,844.00
1469.98,845.40
1473.54,841.70
1477.10,826.60
1480.65,847.40
1484.21,834.60
1487.76,822.80
1491.30,834.40
1494.85,843.90
1498.39,841.80
1501.94,841.50
1505.47,861.70
1509.01,871.70
1512.55,854.80
1516.08,867.00
1519.61,870.80
1523.13,882.70
1526.66,878.10
1530.18,870.00
1533.70,870.70
1537.22,877.10
1540.73,882.90
1544.24,885.60
1547.75,910.90
1551.26,958.30
1554.76,967.30
1558.27,960.60
1561.77,931.60
1565.26,925.40
1568.76,913.50
1572.25,926.20
1575.74,937.70
1579.23,951.20
1582.72,956.10
1586.20,953.30
1589.68,973.10
1593.16,983.70
1596.63,972.60
1600.11,981.70
1603.58,1001.20
1607.05,1006.30
1610.51,1010.90
1613.98,1013.60
1617.44,1039.00
1620.90,1038.50
1624.35,1027.70
1627.81,1049.90
1631.26,1043.60
1634.71,1055.90
1638.16,1061.00
1641.60,1059.60
1645.04,1056.40
1648.48,1080.30
1651.92,1061.20
1655.36,1060.90
1658.79,1043.70
1662.22,1034.90
1665.65,1038.60
1669.07,1034.20
1672.49,1055.00
1675.91,1022.20
1679.33,1042.20
1682.75,1011.40
1686.16,1019.70
1689.57,991.00
1692.98,993.80
1696.39,981.40
1699.79,972.60
1703.19,947.50
1706.59,911.20
1709.99,906.00
1713.38,929.50
1716.77,978.00
1720.16,1052.90
1723.55,1102.90
1726.93,1127.30
1730.32,1131.70
1733.69,1078.30
1737.07,1036.10
1740.45,962.50
1743.82,899.60
1747.19,881.90
1750.56,850.80
1753.92,833.50
1757.29,845.20
1760.65,831.90
1764.00,832.20
1767.36,839.90
1770.71,835.30
1774.06,832.70
1777.41,835.90
1780.76,819.10
1784.10,815.00
1787.44,793.30
1790.78,795.40
1794.12,769.50
1797.45,738.20
1800.79,738.40
1804.12,721.10
1807.44,705.30
1810.77,696.50
1814.09,677.10
1817.41,681.70
1820.73,679.40
1824.04,660.60
1827.36,650.10
1830.67,637.30
1833.98,649.90
1837.28,660.50
1840.58,632.90
1843.89,645.90
1847.18,631.60
1850.48,648.60
1853.77,644.80
1857.07,626.00
1860.36,624.40
1863.64,628.20
1866.93,609.20
1870.21,625.20
1873.49,615.20
1876.77,606.60
1880.04,594.70
1883.31,598.90
1886.58,590.00
1889.85,590.80
1893.12,590.40
1896.38,557.20
1899.64,569.30
1902.90,567.40
1906.16,565.60
1909.41,545.70
1912.66,539.40
1915.91,563.20
1919.16,565.10
1922.40,541.20
1925.64,542.70
1928.88,544.50
1932.12,544.40
1935.36,534.90
1938.59,544.80
1941.82,529.80
1945.05,538.90
1948.27,528.00
1951.50,524.90
1954.72,525.90
1957.93,527.50
1961.15,516.70
1964.36,504.50
1967.58,497.20
1970.79,508.80
1973.99,500.20
1977.20,492.80
1980.40,489.00
1983.60,478.20
1986.80,480.10
1989.99,478.80
1993.18,477.50
1996.37,472.10
1999.56,482.50
2002.75,477.60
2005.93,463.60
2009.11,462.30
2012.29,462.20
2015.47,456.00
2018.64,454.60
2021.81,456.70
2024.98,452.40
2028.15,434.20
2031.31,443.80
2034.48,428.20
2037.64,433.60
2040.80,437.20
2043.95,415.40
2047.10,423.70
2050.25,417.70
2053.40,402.50
2056.55,402.70
2059.69,406.30
2062.83,406.30
2065.97,399.70
2069.11,385.60
2072.25,397.00
2075.38,390.30
2078.51,385.10
2081.64,382.30
2084.76,379.50
2087.88,383.40
2091.00,373.60
2094.12,369.30
2097.24,379.70
2100.35,371.60
2103.46,355.10
2106.57,355.20
2109.68,358.60
2112.79,357.20
2115.89,348.60
2118.99,358.70
2122.09,336.10
2125.18,340.70
2128.27,326.90
2131.36,328.40
2134.45,321.20
2137.54,316.50
2140.62,324.00
2143.70,312.20
2146.78,315.60
2149.86,318.90
2152.94,319.60
2156.01,307.20
2159.08,305.70
2162.15,291.10
2165.21,308.00
2168.28,299.20
2171.34,304.40
2174.39,304.30
2177.45,297.00
2180.51,291.30
2183.56,291.40
2186.61,297.00
2189.65,284.70
2192.70,267.80
2195.74,262.30
2198.78,274.30
2201.82,276.20
2204.86,260.80
2207.89,268.00
2210.92,261.30
2213.95,270.60
2216.98,265.90
2220.00,242.30
2223.02,259.80
2226.04,257.10
2229.06,256.40
2232.08,241.80
2235.09,244.30
2238.10,257.80
2241.11,267.50
