Wavenumber,Processed
257.39,7053.90
261.70,7066.70
266.00,7023.00
270.30,6921.90
274.60,6887.70
278.89,6882.20
283.19,6888.40
287.48,6913.90
291.77,6920.70
296.05,6911.10
300.34,6955.40
304.62,6977.60
308.90,7023.30
313.17,7036.90
317.45,7113.40
321.72,7110.80
325.99,7165.00
330.26,7234.00
334.52,7266.10
338.79,7326.80
343.05,7385.70
347.30,7456.60
351.56,7501.20
355.81,7602.80
360.07,7645.40
364.31,7740.70
368.56,7795.10
372.80,7915.80
377.05,7930.90
381.29,7988.70
385.52,8051.40
389.76,8140.00
393.99,8208.40
398.22,8296.40
402.45,8349.80
406.67,8452.00
410.90,8463.60
415.12,8524.60
419.34,8543.10
423.55,8540.60
427.77,8562.10
431.98,8584.60
436.19,8574.80
440.39,8579.30
444.60,8523.90
448.80,8483.20
453.00,8360.30
457.20,8270.80
461.39,8127.00
465.58,7966.80
469.78,7833.70
473.96,7730.40
478.15,7742.30
482.33,7826.60
486.51,7953.80
490.69,7964.10
494.87,7756.10
499.04,7368.30
503.21,6786.70
507.38,6185.00
511.55,5658.60
515.71,5170.50
519.87,4792.60
524.03,4472.30
528.19,4204.40
532.34,4037.80
536.50,3897.40
540.65,3778.90
544.79,3671.80
548.94,3576.20
553.08,3511.10
557.22,3420.90
561.36,3363.20
565.49,3308.70
569.63,3260.00
573.76,3237.10
577.89,3238.50
582.01,3208.30
586.14,3267.80
590.26,3263.90
594.38,3318.60
598.49,3371.90
602.61,3390.60
606.72,3352.80
610.83,3280.70
614.93,3144.10
619.04,3031.00
623.14,2909.80
627.24,2787.80
631.34,2721.00
635.43,2641.90
639.52,2597.70
643.61,2555.30
647.70,2533.90
651.79,2522.60
655.87,2483.50
659.95,2467.50
664.03,2444.90
668.10,2411.00
672.18,2388.10
676.25,2377.50
680.31,2359.10
684.38,2347.40
688.44,2337.20
692.51,2296.30
696.56,2262.00
700.62,2262.30
704.67,2259.50
708.73,2253.80
712.77,2237.40
716.82,2212.50
720.86,2235.40
724.91,2219.50
728.95,2219.80
732.98,2222.10
737.02,2190.20
741.05,2190.40
745.08,2200.00
749.11,2191.20
753.13,2194.00
757.15,2186.90
761.17,2230.00
765.19,2250.70
769.21,2333.00
773.22,2453.80
777.23,2574.30
781.24,2674.40
785.24,2779.20
789.24,2832.20
793.25,2844.40
797.24,2848.60
801.24,2834.00
805.23,2811.00
809.22,2779.70
813.21,2738.40
817.20,2703.40
821.18,2648.70
825.16,2617.30
829.14,2565.70
833.12,2503.80
837.09,2437.00
841.06,2377.90
845.03,2282.30
849.00,2182.80
852.96,2092.80
856.92,2003.30
860.88,1918.10
864.84,1866.50
868.79,1826.70
872.75,1811.90
876.69,1792.10
880.64,1745.10
884.59,1711.80
888.53,1680.30
892.47,1673.70
896.41,1638.90
900.34,1605.70
904.27,1599.80
908.20,1583.00
912.13,1556.80
916.06,1546.60
919.98,1534.50
923.90,1493.00
927.82,1495.80
931.73,1466.90
935.64,1464.40
939.55,1436.40
943.46,1432.10
947.37,1405.30
951.27,1397.70
955.17,1403.20
959.07,1376.70
962.97,1371.20
966.86,1372.30
970.75,1348.70
974.64,1357.60
978.52,1332.70
982.41,1323.70
986.29,1322.30
990.17,1328.80
994.04,1318.10
997.92,1317.10
1001.79,1326.20
1005.66,1318.20
1009.52,1334.60
1013.39,1348.80
1017.25,1354.60
1021.11,1375.20
1024.96,1409.20
1028.82,1454.50
1032.67,1471.30
1036.52,1506.30
1040.37,1544.20
1044.21,1561.30
1048.05,1571.60
1051.89,1575.80
1055.73,1570.40
1059.56,1564.10
1063.40,1565.10
1067.23,1546.30
1071.05,1527.80
1074.88,1519.70
1078.70,1513.60
1082.52,1486.60
1086.34,1446.40
1090.15,1434.40
1093.96,1420.70
1097.77,1388.90
1101.58,1367.60
1105.39,1340.80
1109.19,1317.80
1112.99,1289.60
1116.79,1278.80
1120.58,1280.30
1124.38,1271.50
1128.17,1270.20
1131.95,1267.10
1135.74,1274.20
1139.52,1268.00
1143.30,1273.10
1147.08,1295.00
1150.86,1296.40
1154.63,1306.00
1158.40,1319.30
1162.17,1320.20
1165.94,1322.40
1169.70,1327.00
1173.46,1341.00
1177.22,1337.30
1180.98,1333.80
1184.73,1323.90
1188.48,1330.30
1192.23,1348.10
1195.98,1315.20
1199.72,1316.30
1203.46,1307.90
1207.20,1322.40
1210.94,1317.30
1214.67,1304.00
1218.40,1297.60
1222.13,1304.40
1225.86,1302.90
1229.58,1286.80
1233.31,1288.30
1237.02,1250.60
1240.74,1243.40
1244.46,1242.60
1248.17,1223.60
1251.88,1210.30
1255.59,1197.00
1259.29,1192.70
1262.99,1166.10
1266.69,1179.50
1270.39,1151.70
1274.08,1146.40
1277.78,1137.70
1281.47,1133.70
1285.15,1139.40
1288.84,1157.00
1292.52,1150.70
1296.20,1148.50
1299.88,1148.40
1303.56,1146.10
1307.23,1130.90
1310.90,1138.70
1314.57,1126.50
1318.23,1113.60
1321.90,1099.60
1325.56,1100.30
1329.22,1087.50
1332.87,1093.50
1336.52,1081.70
1340.18,1066.60
1343.82,1068.10
1347.47,1077.40
1351.11,1080.30
1354.75,1078.30
1358.39,1074.80
1362.03,1074.00
1365.66,1079.10
1369.29,1058.00
1372.92,1061.70
1376.55,1053.70
1380.17,1060.40
1383.80,1062.60
1387.42,1059.60
1391.03,1047.00
1394.65,1046.30
1398.26,1024.10
1401.87,1020.00
1405.47,1022.30
1409.08,1021.40
1412.68,1020.50
1416.28,1027.40
1419.88,1011.90
1423.47,1024.00
1427.07,1021.90
1430.66,1027.70
1434.24,1033.20
1437.83,1054.90
1441.41,1044.30
1444.99,1068.30
1448.57,1086.50
1452.14,1089.60
1455.72,1084.10
1459.29,1081.50
1462.86,1077.10
1466.42,1068.80
1469.98,1064.00
1473.54,1064.70
1477.10,1030.10
1480.66,1058.60
1484.21,1063.70
1487.76,1062.70
1491.31,1047.90
1494.86,1074.40
1498.40,1077.20
1501.94,1087.40
1505.48,1102.60
1509.02,1098.50
1512.55,1098.00
1516.08,1137.20
1519.61,1123.70
1523.14,1152.70
1526.66,1164.70
1530.19,1160.70
1533.71,1157.80
1537.22,1194.30
1540.74,1203.40
1544.25,1242.90
1547.76,1314.00
1551.27,1439.80
1554.77,1558.60
1558.27,1550.80
1561.77,1412.50
1565.27,1341.60
1568.77,1332.10
1572.26,1353.80
1575.75,1380.50
1579.24,1420.60
1582.72,1427.80
1586.21,1450.40
1589.69,1488.90
1593.17,1519.20
1596.64,1534.70
1600.12,1573.50
1603.59,1598.70
1607.05,1618.10
1610.52,1632.50
1613.98,1672.80
1617.45,1684.40
1620.91,1700.40
1624.36,1704.10
1627.82,1729.30
1631.27,1760.60
1634.72,1766.20
1638.16,1781.90
1641.61,1772.40
1645.05,1793.30
1648.49,1804.40
1651.93,1771.00
1655.36,1770.10
1658.80,1742.40
1662.23,1740.20
1665.65,1703.20
1669.08,1687.30
1672.50,1692.30
1675.92,1639.80
1679.34,1603.00
1682.76,1585.40
1686.17,1539.20
1689.58,1510.60
1692.99,1490.80
1696.39,1472.30
1699.80,1447.00
1703.20,1398.70
1706.60,1330.10
1709.99,1313.70
1713.39,1336.30
1716.78,1396.80
1720.17,1456.00
1723.56,1513.10
1726.94,1554.50
1730.32,1513.70
1733.70,1475.70
1737.08,1389.30
1740.45,1317.60
1743.83,1245.70
1747.20,1186.00
1750.56,1159.00
1753.93,1146.60
1757.29,1150.70
1760.65,1147.50
1764.01,1147.60
1767.37,1130.90
1770.72,1140.40
1774.07,1119.00
1777.42,1129.70
1780.77,1117.30
1784.11,1098.40
1787.45,1080.60
1790.79,1056.30
1794.13,1055.30
1797.46,1032.60
1800.79,1014.50
1804.12,989.60
1807.45,964.60
1810.78,969.00
1814.10,952.10
1817.42,935.20
1820.74,927.10
1824.05,912.40
1827.36,905.00
1830.67,903.50
1833.98,896.80
1837.29,886.20
1840.59,886.90
1843.89,884.20
1847.19,881.40
1850.49,879.70
1853.78,879.60
1857.07,871.90
1860.36,856.50
1863.65,884.90
1866.93,862.80
1870.22,864.50
1873.50,878.70
1876.77,850.40
1880.05,848.50
1883.32,842.70
1886.59,832.80
1889.86,836.00
1893.12,836.00
1896.39,822.50
1899.65,821.20
1902.91,810.80
1906.16,805.40
1909.42,801.80
1912.67,803.20
1915.92,800.70
1919.16,807.90
1922.41,797.90
1925.65,805.20
1928.89,812.20
1932.13,784.80
1935.36,786.00
1938.60,791.30
1941.83,794.10
1945.05,791.10
1948.28,787.70
1951.50,783.10
1954.72,790.50
1957.94,796.50
1961.16,776.10
1964.37,777.20
1967.58,769.20
1970.79,759.40
1974.00,756.00
1977.20,753.90
1980.41,745.80
1983.61,740.80
1986.80,752.10
1990.00,749.80
1993.19,732.90
1996.38,732.70
1999.57,728.80
2002.76,730.90
2005.94,736.50
2009.12,733.50
2012.30,727.70
2015.47,737.80
2018.65,727.80
2021.82,717.20
2024.99,714.80
2028.16,716.60
2031.32,707.20
2034.48,698.90
2037.64,704.00
2040.80,703.00
2043.96,678.20
2047.11,680.40
2050.26,665.50
2053.41,671.90
2056.56,665.60
2059.70,662.30
2062.84,639.40
2065.98,661.90
2069.12,656.00
2072.25,657.20
2075.39,641.50
2078.52,638.40
2081.64,640.10
2084.77,650.70
2087.89,646.90
2091.01,641.50
2094.13,632.10
2097.25,640.70
2100.36,627.80
2103.47,618.90
2106.58,621.90
2109.69,605.50
2112.79,585.80
2115.90,598.90
2119.00,605.50
2122.09,594.10
2125.19,577.60
2128.28,568.30
2131.37,558.50
2134.46,571.30
2137.55,557.10
2140.63,555.90
2143.71,537.90
2146.79,548.00
2149.87,558.30
2152.94,534.80
2156.02,538.20
2159.09,534.40
2162.15,521.80
2165.22,529.90
2168.28,527.90
2171.34,518.00
2174.40,518.30
2177.46,520.60
2180.51,504.90
2183.56,508.20
2186.61,492.90
2189.66,486.40
2192.71,489.60
2195.75,497.90
2198.79,475.90
2201.83,462.70
2204.86,480.20
2207.90,461.20
2210.93,462.80
2213.96,453.50
2216.98,452.40
2220.01,435.20
2223.03,439.20
2226.05,437.70
2229.07,440.10
2232.08,423.30
2235.10,425.60
2238.11,423.80
2241.12,438.40
2244.12,423.40
2247.13,411.10
2250.13,411.50
2253.13,409.00
2256.13,408.00
2259.12,420.90
2262.11,398.00
2265.10,396.50
2268.09,395.00
2271.08,402.70
2274.06,396.30
2277.04,385.30
2280.02,386.20
2283.00,382.60
2285.97,369.60
2288.95,387.80
2291.92,349.90
2294.89,366.60
2297.85,363.90
2300.81,366.60
2303.78,374.40
2306.74,368.60
2309.69,370.60
2312.65,371.20
2315.60,380.00
2318.55,413.60
2321.50,471.60
2324.44,645.50
2327.39,859.00
2330.33,864.60
2333.27,724.80
2336.20,484.40
2339.14,386.60
2342.07,368.70
2345.00,347.10
2347.93,342.80
2350.85,328.60
2353.77,320.10
2356.70,316.90
2359.61,309.70
2362.53,312.70
2365.45,312.40
2368.36,312.90
2371.27,301.90
2374.18,287.30
2377.08,288.50
2379.98,292.20
2382.88,292.10
2385.78,286.40
2388.68,269.60
2391.57,291.20
2394.47,277.50
2397.36,274.50
2400.24,277.60
2403.13,277.40
2406.01,273.60
2408.89,278.10
2411.77,262.20
2414.65,262.60
2417.52,268.50
2420.40,259.50
2423.27,266.40
2426.13,266.30
2429.00,256.80
2431.86,242.80
2434.72,251.40
2437.58,254.90
2440.44,238.90
2443.29,245.90
2446.15,245.20
2449.00,238.60
2451.85,239.40
2454.69,245.70
2457.54,221.00
2460.38,240.20
2463.22,229.90
2466.05,234.00
2468.89,216.80
2471.72,234.00
2474.55,219.20
2477.38,227.90
2480.21,219.90
2483.03,222.10
2485.85,204.90
2488.67,215.10
2491.49,214.90
2494.30,211.30
2497.12,215.30
2499.93,215.60
2502.74,217.30
2505.54,208.10
2508.35,212.60
2511.15,199.20
2513.95,203.70
2516.75,207.00
2519.54,198.40
2522.34,197.80
2525.13,200.30
2527.92,212.90
2530.70,192.70
2533.49,200.10
2536.27,200.60
2539.05,197.00
2541.83,183.00
2544.61,203.50
2547.38,188.90
2550.15,191.90
2552.92,183.80
2555.69,187.10
2558.45,190.90
2561.22,189.50
2563.98,183.50
2566.74,186.80
2569.50,179.90
2572.25,169.50
2575.00,182.10
2577.75,188.50
2580.50,180.40
2583.25,174.80
2585.99,178.50
2588.73,174.00
2591.47,163.70
2594.21,174.80
2596.94,172.40
2599.68,168.90
2602.41,159.50
2605.14,170.20
2607.87,158.00
2610.59,163.80
2613.31,167.90
2616.03,156.60
2618.75,169.20
2621.47,170.60
2624.18,152.40
2626.89,142.90
2629.60,155.30
2632.31,167.10
2635.02,170.20
2637.72,147.20
2640.42,164.70
2643.12,163.70
2645.82,164.70
2648.51,158.20
2651.20,160.10
2653.89,148.60
2656.58,161.30
2659.27,140.90
2661.95,148.60
2664.64,152.40
2667.32,143.80
2669.99,148.00
2672.67,161.30
2675.34,152.20
2678.02,143.40
2680.69,143.60
2683.35,147.10
2686.02,151.00
2688.68,153.70
2691.34,152.30
2694.00,145.80
2696.66,156.50
2699.31,152.30
2701.97,144.40
2704.62,150.90
2707.27,150.70
2709.91,147.00
2712.56,142.20
2715.20,138.50
2717.84,154.70
2720.48,149.00
2723.11,149.40
2725.75,155.50
2728.38,153.60
2731.01,166.00
2733.64,155.80
2736.26,141.40
2738.88,160.50
2741.51,140.00
2744.13,149.90
2746.74,150.00
2749.36,156.50
2751.97,145.40
2754.58,151.10
2757.19,153.70
2759.80,156.30
2762.40,140.10
2765.00,157.30
2767.61,144.20
2770.20,145.10
2772.80,162.50
2775.40,159.10
2777.99,147.40
2780.58,150.20
2783.17,168.90
2785.75,162.30
2788.34,147.90
2790.92,138.70
2793.50,156.50
2796.08,160.50
2798.65,173.70
2801.23,159.20
2803.80,159.80
2806.37,159.20
2808.94,171.80
2811.50,164.70
2814.06,163.80
2816.63,163.90
2819.19,170.20
2821.74,160.50
2824.30,174.30
2826.85,166.00
2829.40,168.40
2831.95,180.50
2834.50,181.70
2837.04,170.60
2839.59,170.30
2842.13,173.10
2844.67,177.10
2847.20,177.60
2849.74,173.20
2852.27,184.20
2854.80,184.30
2857.33,197.60
2859.86,186.30
2862.38,189.10
2864.91,204.90
2867.43,191.50
2869.95,189.90
2872.46,201.10
2874.98,219.20
2877.49,212.10
2880.00,216.80
2882.51,219.60
2885.02,225.60
2887.52,228.70
2890.02,229.60
2892.52,216.20
2895.02,226.10
2897.52,227.60
2900.01,239.90
2902.51,253.30
2905.00,241.70
2907.49,238.90
2909.97,250.80
2912.46,255.90
2914.94,252.90
2917.42,243.60
2919.90,246.10
2922.37,264.50
2924.85,274.70
2927.32,282.20
2929.79,263.10
2932.26,284.10
2934.73,290.80
2937.19,297.10
2939.65,299.20
2942.11,320.30
2944.57,308.50
2947.03,316.70
2949.48,315.70
2951.94,320.60
2954.39,330.60
2956.84,339.80
2959.28,319.40
2961.73,329.30
2964.17,348.10
2966.61,347.70
2969.05,350.70
2971.49,358.80
2973.92,374.80
2976.35,378.40
2978.78,376.70
2981.21,375.50
2983.64,382.60
2986.06,400.70
2988.49,407.70
2990.91,400.40
2993.33,409.30
2995.74,437.40
2998.16,433.20
3000.57,429.10
3002.98,449.80
3005.39,452.70
3007.80,459.10
3010.20,456.40
3012.61,483.70
3015.01,474.50
3017.41,469.10
3019.80,488.70
3022.20,495.20
3024.59,503.30
3026.98,521.50
3029.37,524.60
3031.76,535.40
3034.15,551.70
3036.53,559.30
3038.91,578.00
3041.29,575.50
3043.67,592.00
3046.05,608.10
3048.42,615.20
3050.79,628.60
3053.16,626.60
3055.53,645.90
3057.90,676.00
3060.26,676.40
3062.62,688.30
3064.98,693.40
3067.34,712.20
3069.70,731.00
3072.05,751.20
3074.41,744.20
3076.76,739.90
3079.10,765.60
3081.45,775.40
3083.80,792.10
3086.14,810.10
3088.48,809.60
3090.82,831.80
3093.16,837.20
3095.49,836.70
3097.83,854.60
3100.16,878.30
3102.49,900.60
3104.81,903.30
3107.14,912.30
3109.46,930.50
3111.79,941.00
3114.11,968.30
3116.42,995.30
3118.74,996.70
3121.05,1013.30
3123.37,1041.60
3125.68,1045.90
3127.99,1067.90
3130.29,1103.70
3132.60,1102.50
3134.90,1107.00
3137.20,1116.70
3139.50,1135.20
3141.80,1159.20
3144.09,1156.40
3146.39,1176.00
3148.68,1189.50
3150.97,1196.80
3153.25,1214.60
3155.54,1210.00
3157.82,1222.20
3160.11,1225.90
3162.39,1233.00
3164.66,1250.40
3166.94,1265.70
3169.21,1260.00
3171.49,1261.30
3173.76,1264.00
3176.03,1260.70
3178.29,1265.20
3180.56,1285.20
3182.82,1284.90
3185.08,1284.90
3187.34,1291.60
3189.60,1296.60
3191.86,1304.70
3194.11,1322.60
3196.36,1316.80
3198.61,1310.80
3200.86,1321.40
3203.11,1319.50
3205.35,1331.30
3207.59,1319.90
3209.83,1330.10
3212.07,1323.30
3214.31,1339.90
3216.54,1351.40
3218.78,1337.30
3221.01,1322.80
3223.24,1325.10
3225.47,1314.60
3227.69,1297.90
3229.92,1284.80
3232.14,1287.10
3234.36,1258.10
3236.58,1259.80
3238.79,1249.10
3241.01,1244.80
3243.22,1221.10
3245.43,1227.60
3247.64,1196.30
3249.85,1200.00
3252.05,1200.20
3254.26,1180.90
3256.46,1171.90
3258.66,1159.10
3260.86,1164.30
3263.05,1141.60
3265.25,1142.80
3267.44,1138.90
3269.63,1114.70
3271.82,1113.90
3274.01,1114.10
3276.19,1117.80
3278.38,1109.80
3280.56,1107.80
3282.74,1105.00
3284.92,1118.70
3287.09,1111.90
3289.27,1099.90
3291.44,1085.70
3293.61,1073.40
3295.78,1067.70
3297.95,1061.40
3300.11,1074.40
3302.28,1069.80
3304.44,1059.80
3306.60,1055.10
3308.76,1036.90
3310.91,1031.20
3313.07,1018.60
3315.22,1004.20
3317.37,1002.00
3319.52,978.40
3321.67,983.00
3323.81,978.90
3325.95,935.50
3328.10,959.10
3330.24,963.20
3332.37,937.10
3334.51,938.80
3336.65,926.80
3338.78,923.80
3340.91,928.00
3343.04,926.50
3345.17,927.50
3347.29,923.60
3349.41,920.80
3351.54,909.00
3353.66,927.80
3355.78,909.60
3357.89,909.90
3360.01,903.20
3362.12,885.00
3364.23,881.20
3366.34,876.70
3368.45,870.30
3370.55,837.20
3372.66,832.30
3374.76,836.40
3376.86,808.20
3378.96,796.00
3381.06,777.50
